region,place_name,place_type,rating,reviews,price,delivery_option,dine_in_option,takeout_option
F,Prostir.coffee Таврик,Coffee shop,5.0,26,$$,FALSE,TRUE,
F,I love coffee,Coffee shop,4.7,485,$$,FALSE,TRUE,TRUE
F,coffee House,Coffee shop,4.7,279,$$,FALSE,TRUE,TRUE
F,Дом Кофе,Coffee shop,4.6,241,$$,FALSE,TRUE,TRUE
F,CoffeeOk,Coffee shop,4.9,18,$$,FALSE,,TRUE
F,Кофе с Совой,Espresso bar,4.9,46,$$,FALSE,,TRUE
F,Кофе В Херсоне,Cafe,,,$$,FALSE,,
F,Prostir.coffee,Coffee shop,4.7,587,$$,TRUE,TRUE,TRUE
F,Don Marco coffee shop,Coffee shop,4.4,593,$$,FALSE,TRUE,TRUE
F,HOTCUP,Cafe,4.6,103,$$,FALSE,,TRUE
F,Koko,Coffee shop,4.4,1201,$$,FALSE,TRUE,TRUE
F,Coffee house,Coffee shop,4.4,67,$$,FALSE,,TRUE
F,Coffeehouse Na Poshtovomu Provulku,Coffee shop,4.6,275,$$,FALSE,TRUE,TRUE
F,Just Coffee Kherson,Espresso bar,4.5,27,$$,FALSE,,TRUE
F,Don Marco,Coffee shop,4.4,304,$$,FALSE,TRUE,TRUE
F,Green house,Cafe,4.5,598,$$,TRUE,TRUE,TRUE
F,Kofemolka,Coffee shop,4.7,97,$$,FALSE,,TRUE
B,Art Coffee,Espresso bar,4.6,11,$$,FALSE,,
B,Art Coffee - Інтернет Магазин Кави та Чаю,Others,5.0,12,$$,TRUE,,
B,Coffeeshop GRANO,Cafe,4.9,14,$$,FALSE,,TRUE
B,"Мастерская ""Кофе на разлив""",Others,5.0,15,$$,FALSE,,
B,Coffeeсть,Coffee shop,4.6,38,$$,FALSE,TRUE,TRUE
B,The Boiler Room,Coffee shop,4.8,98,$$,FALSE,TRUE,
B,Dim Kavy,Espresso bar,4.8,118,$$,FALSE,,
B,"Интернет-магазин ""Kava-e""",Others,4.7,121,$$,FALSE,,
B,Coffee House,Others,4.7,132,$$,FALSE,,
B,Jays : Coffee Brewers,Others,4.5,167,$$,FALSE,,TRUE
B,Caffisimo,Espresso bar,4.5,223,$$,FALSE,,
B,MY COFFEE,Coffee shop,4.5,341,$$,FALSE,TRUE,TRUE
B,"Kaffe ""Na Peskah""",Cafe,4.2,385,$$,FALSE,TRUE,TRUE
B,LittleTalk Coffee,Coffee shop,4.6,414,$$,FALSE,TRUE,TRUE
B,Столовая BUFET,Cafe,5.0,440,$$,TRUE,TRUE,TRUE
B,Svit kavy,Coffee shop,4.6,488,$$,FALSE,TRUE,TRUE
B,Comeback coffee & more,Cafe,4.8,807,$$,FALSE,TRUE,TRUE
B,Coffeelab Roasters,Coffee shop,4.7,837,$$,FALSE,TRUE,TRUE
B,Cholla & Joshua,Espresso bar,4.6,1482,$$,FALSE,TRUE,
B,Dobra Kava,Cafe,4.3,1656,$$,TRUE,TRUE,
A,Смажимо каву в Одесі. Обсмажувальна №2,Coffee shop,4.7,335,$$,FALSE,TRUE,TRUE
A,Traveler`s Coffee,Coffee shop,4.6,2700,$$,TRUE,TRUE,TRUE
A,Кофе База Одесса | Coffee Baza,Others,5.0,10,$$,FALSE,,
A,We Roast Coffee in Odessa,Coffee shop,4.5,122,$$,FALSE,TRUE,TRUE
A,Burso_Coffee,Coffee shop,5.0,21,$$,FALSE,TRUE,TRUE
A,Foundation Coffee Roasters,Espresso bar,4.7,1415,$$,TRUE,TRUE,
A,Red Cup Coffee Roasters,Others,5.0,15,$$,FALSE,,
A,Krem Kafe,Coffee shop,4.9,64,$$,FALSE,TRUE,
A,FAB.,Others,4.9,47,$$,FALSE,TRUE,TRUE
A,Zheto,Coffee shop,4.8,2141,$$,FALSE,TRUE,TRUE
A,Eclair&Coffee,Espresso bar,4.9,36,$$,FALSE,,
A,Coffee Room,Coffee shop,4.7,202,$$,FALSE,TRUE,TRUE
A,Смажимо каву. Обсмажувальна N3,Coffee shop,4.6,113,$$,FALSE,,
A,kofevarka.odessa.ua,Others,4.6,111,$$,TRUE,,
A,Anso Coffee,Coffee shop,4.9,40,$$,FALSE,TRUE,
A,Pasadena Coffee,Coffee shop,4.9,39,$$,FALSE,TRUE,
A,Coffeetory Кофетория,Coffee shop,4.6,789,$$,TRUE,TRUE,TRUE
A,MY COFFEE,Coffee shop,4.8,150,$$,FALSE,TRUE,TRUE
A,Жарим Кофе в Одессе. Обжарочная №4,Coffee shop,4.7,80,$$,FALSE,,
A,Coffee break ZAVIDA,Coffee shop,4.9,10,$$,FALSE,,
E,Lviv Coffee Manufacture,Coffee shop,4.7,17937,$$,TRUE,TRUE,TRUE
E,Svit Kavy,Coffee shop,4.6,2931,$$,FALSE,TRUE,TRUE
E,Na bambetli,Coffee shop,4.7,2089,$$,FALSE,TRUE,TRUE
E,Golden Ducat,Coffee shop,4.4,813,$$,FALSE,TRUE,TRUE
E,Lviv coffee manufacture (Valova),Coffee shop,4.6,1517,$$,FALSE,TRUE,TRUE
E,SDV Coffee,Coffee shop,4.8,858,$$,FALSE,TRUE,TRUE
E,Fixage,Coffee shop,4.6,702,$$,FALSE,TRUE,TRUE
E,Svit Kavy,Coffee shop,4.3,102,$$,FALSE,TRUE,TRUE
E,Lviv Coffee Manufacture,Coffee shop,4.5,778,$$,FALSE,TRUE,TRUE
E,Lʹvivsʹka Manufaktura Kavy,Coffee shop,4.6,1009,$$,FALSE,TRUE,TRUE
E,Вірменка,Coffee shop,4.8,2873,$$,FALSE,TRUE,TRUE
E,Saturdays Coffee Цирк,Coffee shop,5.0,24,$$,TRUE,TRUE,TRUE
E,coffee House,Coffee shop,4.7,363,$$,FALSE,TRUE,TRUE
E,Chekhovych,Others,4.6,1199,$$,FALSE,TRUE,TRUE
E,Svit Kavy (Rynok Sq.),Coffee shop,4.6,1284,$$,FALSE,TRUE,TRUE
E,Cafe 1,Cafe,4.6,1570,$$,TRUE,TRUE,TRUE
E,Liberty,Cafe,5.0,10,$$,FALSE,,TRUE
E,Lviv Croissants,Cafe,4.5,2236,$$,FALSE,TRUE,TRUE
E,Rondo Cafe,Cafe,4.9,157,$$,FALSE,TRUE,TRUE
E,Karmel Coffee Shop,Coffee shop,4.9,321,$$,FALSE,TRUE,TRUE
D,SV Кафе,Cafe,4.5,998,$$,TRUE,TRUE,TRUE
D,I Feel Espresso Bar,Cafe,4.5,1509,$$,FALSE,TRUE,TRUE
D,I want coffee,Coffee shop,4.4,699,$$,FALSE,TRUE,TRUE
D,Кофейня My Coffee,Cafe,4.5,124,$$,FALSE,,TRUE
D,Hunter's yard,Cafe,4.4,479,$$,FALSE,TRUE,TRUE
D,Crema Caffe Кривий Ріг,Coffee shop,4.7,455,$$,FALSE,TRUE,TRUE
D,"Tea, Coffee Shop",Others,4.6,401,$$,FALSE,TRUE,TRUE
D,Антикафе 7/9 | Кривой Рог,Cafe,4.7,190,$$,FALSE,TRUE,
D,Чай Кофе,Cafe,4.4,40,$$,FALSE,,
D,Coffee Craft,Cafe,4.7,342,$$,FALSE,TRUE,TRUE
D,ЕТУАЛЬ КАФЕ,Cafe,4.6,327,$$$,TRUE,TRUE,TRUE
D,Coffee Break,Espresso bar,4.8,49,$$,FALSE,,TRUE
D,SV Кафе,Cafe,4.6,740,$$,FALSE,TRUE,TRUE
D,Dva Gusya Pizza,Cafe,4.0,1439,$$,TRUE,TRUE,TRUE
D,Offshore cafe,Cafe,4.4,947,$$,FALSE,TRUE,TRUE
D,Франс.уа на Пушкина,Cafe,4.9,156,$$,FALSE,TRUE,TRUE
D,Дикий Койот кафе,Cafe,4.9,116,$$,TRUE,TRUE,TRUE
D,BON BON,Coffee shop,4.8,156,$$,FALSE,TRUE,TRUE
D,The Spiceroom,Cafe,4.6,38,$$,TRUE,,TRUE
D,Магазин AROMA coffee&tea shop,Cafe,5.0,33,$$,FALSE,TRUE,
G,coffeeok,Others,4.9,1820,$$,TRUE,,
G,"""®КАВА БАЗА®""",Others,5.0,21,$$,FALSE,,
G,Coffee in Action,Coffee shop,4.9,304,$$,FALSE,,
G,Горький Espresso Bar,Coffee shop,5.0,22,$$,FALSE,,
G,Кафе Бутик,Others,4.7,373,$$,TRUE,,
G,Cuba Coffee Brew - Bar,Espresso bar,4.6,693,$$,FALSE,TRUE,TRUE
G,Progress Cafe,Coffee shop,4.9,26,$$,FALSE,,
G,Буду Кофе,Coffee shop,4.9,282,$$,FALSE,TRUE,TRUE
G,ONE LOVE espresso bar,Coffee shop,4.6,2319,$$,FALSE,TRUE,TRUE
G,Matílda cafe,Cafe,4.9,26,$$,FALSE,TRUE,TRUE
G,TAKAVA Coffee-Buffet,Cafe,4.6,1737,$$,FALSE,TRUE,TRUE
G,Kaffa,Cafe,4.7,1281,$$,FALSE,TRUE,TRUE
G,The Blue Cup Coffee Shop,Espresso bar,4.6,1908,$$,TRUE,TRUE,TRUE
G,LION coffee,Coffee shop,4.9,64,$$,FALSE,,
G,Kaffa,Espresso bar,4.8,824,$$,FALSE,TRUE,TRUE
G,London,Cafe,4.7,1633,$$,FALSE,TRUE,
G,PRO Coffee,Espresso bar,4.8,35,$$,FALSE,TRUE,TRUE
G,RIGHT coffee bar,Coffee shop,4.7,514,$$,FALSE,TRUE,TRUE
G,Espressoholic,Espresso bar,4.6,1300,$,FALSE,TRUE,TRUE
G,Matin Desserts & Coffee,Coffee shop,4.9,110,$$,FALSE,,
I,КофеТочка Харьков - интернет-магазин кофе и кофеоборудования,Others,3.9,10,$$,FALSE,,
I,Coffee House,Espresso bar,4.5,268,$$,FALSE,,
I,Sweeter,Coffee shop,4.6,642,$$,FALSE,TRUE,TRUE
I,Workshop coffee,Coffee shop,4.7,400,$$,FALSE,TRUE,TRUE
I,Мастерская Кофе,Coffee shop,4.7,403,$$,FALSE,TRUE,TRUE
I,Kofeyin,Coffee shop,4.5,2914,$$,FALSE,TRUE,TRUE
I,Dom Kofe,Coffee shop,4.6,40,$$,FALSE,,
I,coffee House,Cafe,4.6,96,$$,FALSE,,
I,Cats and coffee | Киці та кава,Espresso bar,4.6,1394,$$,TRUE,TRUE,TRUE
I,CoffeeDoor Brewbar & Coffeeshop,Coffee shop,4.7,512,$$,FALSE,TRUE,TRUE
I,"Dom Kofe, Mah.",Coffee shop,4.3,3,$$,FALSE,,
I,Dim Kavy,Espresso bar,4.7,185,$$,FALSE,,
I,Dim Kavy,Others,4.7,222,$$,FALSE,TRUE,TRUE
I,Sweeter,Coffee shop,4.6,289,$$,FALSE,TRUE,TRUE
I,Kava U Shafi,Coffee shop,4.6,702,$$,FALSE,TRUE,
I,Coffeelaktika,Coffee shop,4.8,261,$$,FALSE,TRUE,TRUE
I,"Caffissimo, КОФЕЙНЯ",Coffee shop,4.6,118,$$,TRUE,TRUE,TRUE
I,Coffeelaktika coffee studio,Coffee shop,4.5,121,$$,FALSE,TRUE,TRUE
I,KOFEiN®,Coffee shop,4.6,1758,$$,FALSE,TRUE,TRUE
I,Mr. Bourbon,Coffee shop,4.7,551,$$,FALSE,TRUE,TRUE
H,DoubleDecker Cake and Coffee,Others,4.7,2381,$$$,TRUE,TRUE,TRUE
H,Dim Kavy,Others,4.9,39,$$,FALSE,,
H,Бамбук,Cafe,4.1,189,$$,FALSE,TRUE,TRUE
H,I feel city cafe,Cafe,4.5,1529,$$,TRUE,TRUE,TRUE
H,Coffee Secrets,Cafe,4.6,38,$$,FALSE,TRUE,TRUE
H,Horizontal kaffee,Cafe,5.0,37,$$,FALSE,TRUE,
H,"Coffee&Cake, Game zone PS4",Coffee shop,,,$$,FALSE,,
H,Zeffirino,Coffee shop,4.6,830,$$,FALSE,TRUE,TRUE
H,Coffee Life,Cafe,4.0,170,$$,FALSE,TRUE,TRUE
H,The sisters,Cafe,4.7,155,$$,FALSE,TRUE,TRUE
H,"""Франс.уа"" кофейня-пекарня",Cafe,3.9,9,$$,FALSE,,TRUE
H,Tsikava Kava,Others,4.7,185,$$,TRUE,TRUE,
H,Try Bobry,Coffee shop,4.6,2013,$$,FALSE,TRUE,TRUE
H,Pa-si-ju Кафе,Cafe,4.6,1051,$$,TRUE,TRUE,TRUE
H,Колибри,Cafe,5.0,18,$$,FALSE,TRUE,TRUE
H,Artist,Others,4.6,963,$$$,FALSE,TRUE,TRUE
H,Dream Cafe,Cafe,4.3,646,$$,FALSE,TRUE,TRUE
H,РУТА КАФЕ ПП КУЛІЧЕНКО К.І.,Cafe,4.6,16,$$,FALSE,TRUE,TRUE
H,Ob'yektna Kava,Coffee shop,4.7,599,$$,FALSE,TRUE,TRUE
H,О...МАРАТ КАФЕ ПП ПОЛІСТЕП,Cafe,4.3,341,$$,FALSE,TRUE,
